4312s - 2008 through 2011									
Filled Catalog Item Name: KIT - COMMAND REPEATER AND Inc Calendar Year: 									
Inc Number: Ascending order; Req Number Sort Key: Ascending order									
Inc Calendar Year: 2008									
Inc GACC Org Name: Northern California Coordination Center									
Inc Disp Org Name	Inc Number	Inc Name	Inc Type	Req Number	Assignment Name	Res Prov Org Unit Code	Mob ETD	Demob ETA	Days Assigned
Los Padres ECC	CA-LPF-001715	EAST BASIN COMPLEX	Fire - Wildfire	E-20341	Kit Command Repeater-4312-C061 (4312) (ID-FCK)	ID-FCK	"Jul 3, 2008 10:00:00 PM"	"Aug 14, 2008 4:55:00 PM"	43
Los Padres ECC	CA-LPF-001715	EAST BASIN COMPLEX	Fire - Wildfire	E-20343	Kit Command Repeater-4312-C036 - C9 (ID-FCK)	ID-FCK	"Jul 3, 2008 10:00:00 PM"	"Aug 19, 2008 9:25:00 PM"	48
Los Padres ECC	CA-LPF-001715	EAST BASIN COMPLEX	Fire - Wildfire	E-20437	Kit Command Repeater-4312-C177 (4312) (ID-FCK)	ID-FCK	"Jul 11, 2008 11:00:00 PM"	"Jul 29, 2008 6:30:00 PM"	19
Los Padres ECC	CA-LPF-002754	CHALK	Fire - Wildfire	E-49.3	Kit Command Repeater-4312-C192  (ID-FCK)	ID-FCK	"Sep 29, 2008 6:00:00 AM"	"Oct 31, 2008 8:00:00 PM"	33
Los Padres ECC	CA-LPF-002754	CHALK	Fire - Wildfire	E-124	Kit Command Repeater-4312-C195 - C9 (ID-FCK)	ID-FCK	"Sep 30, 2008 10:00:00 AM"	"Oct 31, 2008 8:00:00 PM"	32
Los Padres ECC	CA-LPF-002754	CHALK	Fire - Wildfire	E-217	Kit Command Repeater-4312-C216 (4312) (ID-FCK)	ID-FCK	"Oct 4, 2008 11:55:00 AM"	"Oct 31, 2008 8:00:00 PM"	28
Inc Calendar Year: 2009									
Inc GACC Org Name: Alaska Interagency Coordination Center									
Inc Disp Org Name	Inc Number	Inc Name	Inc Type	Req Number	Assignment Name	Res Prov Org Unit Code	Mob ETD	Demob ETA	Days Assigned
Alaska Interagency Coordination Center	AK-ACC-000001	2009 AICC COMMUNICATIONS PREPOSITION	Preparedness/Preposition	E-1	Kit Command Repeater-4312-C042 (4312) (ID-FCK)	ID-FCK	"Jan 9, 2009 1:37:38 PM"	"Jan 9, 2009 1:38:47 PM"	1
Alaska Interagency Coordination Center	AK-ACC-000001	2009 AICC COMMUNICATIONS PREPOSITION	Preparedness/Preposition	E-2	Kit Command Repeater-4312-C042 (4312) (ID-FCK)	ID-FCK	"Jan 9, 2009 1:38:47 PM"	"Apr 3, 2009 12:30:00 PM"	85
Alaska Interagency Coordination Center	AK-ACC-000001	2009 AICC COMMUNICATIONS PREPOSITION	Preparedness/Preposition	E-3	Kit Command Repeater-4312-C055 - C24 (ID-FCK)	ID-FCK	"Jan 9, 2009 1:40:02 PM"	"Apr 3, 2009 12:30:00 PM"	85
Alaska Interagency Coordination Center	AK-ACC-000001	2009 AICC COMMUNICATIONS PREPOSITION	Preparedness/Preposition	E-4.6	Kit Command Repeater-4312-C183 (4312) (ID-FCK)	ID-FCK	"Jan 9, 2009 1:42:01 PM"	"Apr 3, 2009 12:30:00 PM"	85
Alaska Interagency Coordination Center	AK-ACC-000001	2009 AICC COMMUNICATIONS PREPOSITION	Preparedness/Preposition	E-5.2	Kit Command Repeater-4312-C091 (4312) (ID-FCK)	ID-FCK	"Mar 27, 2009 10:10:00 AM"	"May 14, 2009 12:00:00 PM"	49
Alaska Interagency Coordination Center	AK-ACC-000001	2009 AICC COMMUNICATIONS PREPOSITION	Preparedness/Preposition	E-6.8	Kit Command Repeater-4312-C002 - (C-8) (ID-FCK)	ID-FCK	"Mar 27, 2009 10:10:00 AM"	"May 26, 2009 2:00:00 PM"	61
Alaska Interagency Coordination Center	AK-ACC-000001	2009 AICC COMMUNICATIONS PREPOSITION	Preparedness/Preposition	E-7	Kit Command Repeater-4312-C186 - C8 (4312) (ID-FCK)	ID-FCK	"Mar 27, 2009 10:10:00 AM"	"May 14, 2009 12:00:00 PM"	49
Alaska Interagency Coordination Center	AK-ACC-000001	2009 AICC COMMUNICATIONS PREPOSITION	Preparedness/Preposition	E-8	Kit Command Repeater-4312-C195 - C9 (4312) (ID-FCK)	ID-FCK	"Mar 27, 2009 10:10:00 AM"	"May 26, 2009 2:00:00 PM"	61
Alaska Interagency Coordination Center	AK-ACC-000001	2009 AICC COMMUNICATIONS PREPOSITION	Preparedness/Preposition	E-9.2	Kit Command Repeater-4312-C013 (4312) (ID-FCK)	ID-FCK	"May 14, 2009 7:20:00 PM"	"Aug 26, 2009 12:15:00 PM"	105
Alaska Interagency Coordination Center	AK-ACC-000001	2009 AICC COMMUNICATIONS PREPOSITION	Preparedness/Preposition	E-10	Kit Command Repeater-4312-C103 - C10 (4312) (ID-FCK)	ID-FCK	"May 14, 2009 7:20:00 PM"	"Aug 26, 2009 12:15:00 PM"	105
Alaska Interagency Coordination Center	AK-ACC-000001	2009 AICC COMMUNICATIONS PREPOSITION	Preparedness/Preposition	E-11.2	Kit Command Repeater-4312-C102  (4312) (ID-FCK)	ID-FCK	"May 26, 2009 6:40:00 PM"	"Jul 9, 2009 5:15:00 PM"	45
Alaska Interagency Coordination Center	AK-ACC-000001	2009 AICC COMMUNICATIONS PREPOSITION	Preparedness/Preposition	E-12	Kit Command Repeater-4312-C056 - C9 (ID-FCK)	ID-FCK	"May 26, 2009 6:40:00 PM"	"May 28, 2009 6:00:00 PM"	3
Alaska Interagency Coordination Center	AK-ACC-000001	2009 AICC COMMUNICATIONS PREPOSITION	Preparedness/Preposition	E-13	Kit Command Repeater-4312-C036 - C9 (ID-FCK)	ID-FCK	"May 28, 2009 5:20:00 PM"	"Jul 9, 2009 5:15:00 PM"	43
Alaska Interagency Coordination Center	AK-ACC-000001	2009 AICC COMMUNICATIONS PREPOSITION	Preparedness/Preposition	E-14.1	Kit Command Repeater-4312-C171 (4312) (ID-FCK)	ID-FCK	"Jul 7, 2009 11:10:00 AM"	"Jul 29, 2009 8:00:00 PM"	23
Alaska Interagency Coordination Center	AK-ACC-000001	2009 AICC COMMUNICATIONS PREPOSITION	Preparedness/Preposition	E-15	Kit Command Repeater-4312-C146 - C8 (4312) (ID-FCK)	ID-FCK	"Jul 7, 2009 11:10:00 AM"	"Jul 29, 2009 8:00:00 PM"	23
Alaska Interagency Coordination Center	AK-ACC-000001	2009 AICC COMMUNICATIONS PREPOSITION	Preparedness/Preposition	E-16	Kit Command Repeater-4312-C047 -NRPA1 (4312) (ID-FCK)	ID-FCK	"Jul 8, 2009 8:50:00 PM"	"Jul 13, 2009 3:00:00 PM"	6
Alaska Interagency Coordination Center	AK-ACC-000001	2009 AICC COMMUNICATIONS PREPOSITION	Preparedness/Preposition	E-17	Kit Command Repeater-4312-C141 - NPRA2 (4312) (ID-FCK)	ID-FCK	"Jul 8, 2009 8:50:00 PM"	"Jul 12, 2009 12:30:00 PM"	5
Alaska Interagency Coordination Center	AK-ACC-000001	2009 AICC COMMUNICATIONS PREPOSITION	Preparedness/Preposition	E-18.3	Kit Command Repeater-4312-C054 (4312) (ID-FCK)	ID-FCK	"Jul 10, 2009 11:10:00 AM"	"Jul 31, 2009 3:00:00 PM"	22
Alaska Interagency Coordination Center	AK-ACC-000001	2009 AICC COMMUNICATIONS PREPOSITION	Preparedness/Preposition	E-19	Kit Command Repeater-4312-C033 - C11 (4312) (ID-FCK)	ID-FCK	"Jul 10, 2009 11:10:00 AM"	"Jul 31, 2009 3:00:00 PM"	22
